table_name,column_id,column_name,sqlite_type,not_null,default_value,primary_key
legacy_carts,0,cart_id,TEXT,0,,0
legacy_carts,1,live_id,TEXT,0,,0
legacy_carts,2,customer_id,TEXT,0,,0
legacy_carts,3,cart_status,TEXT,0,,0
legacy_carts,4,created_at,TEXT,0,,0
legacy_carts,5,updated_at,TEXT,0,,0
legacy_carts,6,total_amount,TEXT,0,,0
legacy_carts,7,currency,TEXT,0,,0
legacy_customers,0,customer_id,TEXT,0,,0
legacy_customers,1,username,TEXT,0,,0
legacy_customers,2,platform,TEXT,0,,0
legacy_customers,3,email,TEXT,0,,0
legacy_customers,4,country,TEXT,0,,0
legacy_customers,5,created_at,TEXT,0,,0
legacy_live_sessions,0,live_id,TEXT,0,,0
legacy_live_sessions,1,seller_id,TEXT,0,,0
legacy_live_sessions,2,platform,TEXT,0,,0
legacy_live_sessions,3,live_title,TEXT,0,,0
legacy_live_sessions,4,scheduled_start_at,TEXT,0,,0
legacy_live_sessions,5,actual_start_at,TEXT,0,,0
legacy_live_sessions,6,ended_at,TEXT,0,,0
legacy_live_sessions,7,live_status,TEXT,0,,0
legacy_live_sessions,8,peak_viewers,TEXT,0,,0
legacy_live_sessions,9,currency,TEXT,0,,0
legacy_live_sessions,10,created_at,TEXT,0,,0
legacy_orders,0,order_id,TEXT,0,,0
legacy_orders,1,cart_id,TEXT,0,,0
legacy_orders,2,customer_id,TEXT,0,,0
legacy_orders,3,seller_id,TEXT,0,,0
legacy_orders,4,order_status,TEXT,0,,0
legacy_orders,5,order_amount,TEXT,0,,0
legacy_orders,6,currency,TEXT,0,,0
legacy_orders,7,created_at,TEXT,0,,0
legacy_orders,8,confirmed_at,TEXT,0,,0
legacy_payments,0,payment_id,TEXT,0,,0
legacy_payments,1,order_id,TEXT,0,,0
legacy_payments,2,payment_provider,TEXT,0,,0
legacy_payments,3,payment_status,TEXT,0,,0
legacy_payments,4,payment_amount,TEXT,0,,0
legacy_payments,5,currency,TEXT,0,,0
legacy_payments,6,payment_method,TEXT,0,,0
legacy_payments,7,paid_at,TEXT,0,,0
legacy_payments,8,transaction_reference,TEXT,0,,0
legacy_sellers,0,seller_id,TEXT,0,,0
legacy_sellers,1,shop_name,TEXT,0,,0
legacy_sellers,2,owner_first_name,TEXT,0,,0
legacy_sellers,3,owner_last_name,TEXT,0,,0
legacy_sellers,4,email,TEXT,0,,0
legacy_sellers,5,phone_number,TEXT,0,,0
legacy_sellers,6,country,TEXT,0,,0
legacy_sellers,7,main_platform,TEXT,0,,0
legacy_sellers,8,created_at,TEXT,0,,0
legacy_sellers,9,seller_status,TEXT,0,,0
