source_category,dataset_name,file_name,file_path,row_count,column_count,missing_cells_count,missing_cells_rate,duplicate_full_rows_count,empty_columns_count,status,error_message
raw,cart_items,cart_items_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\cart_items_raw.csv,228,8,46,0.0252,8,0,loaded,
raw,carts,carts_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\carts_raw.csv,126,8,38,0.0377,6,0,loaded,
raw,customers,customers_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\customers_raw.csv,85,6,38,0.0745,5,0,loaded,
raw,live_comments,live_comments_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\live_comments_raw.csv,365,11,219,0.0545,15,0,loaded,
raw,live_events,live_events_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\live_events_raw.csv,1020,7,404,0.0566,20,0,loaded,
raw,live_products,live_products_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\live_products_raw.csv,125,7,0,0.0,5,0,loaded,
raw,live_sessions,live_sessions_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\live_sessions_raw.csv,38,11,5,0.012,3,0,loaded,
raw,orders,orders_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\orders_raw.csv,95,9,16,0.0187,5,0,loaded,
raw,payments,payments_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\payments_raw.csv,102,9,53,0.0577,7,0,loaded,
raw,products,products_raw.csv,C:\Users\DELL PRO\Desktop\EPSI\Dossier Pro\PayLive-AI-Copilot\data\raw\products_raw.csv,64,10,28,0.0437,4,0,loaded,
