metric,value
analysis_timestamp,2026-07-04 02:34:27
datasets_analyzed,37
loaded_datasets,37
total_rows_analyzed,7499
total_missing_cells,2395
total_duplicate_full_rows,264
total_business_rule_issues,59
affected_rows_critical,209
affected_rows_major,1323
issue_cart_total_amount_mismatch,107
issue_confirmed_at_before_created_at,1
issue_duplicated_primary_key,196
issue_ended_at_before_actual_start_at,1
issue_inconsistent_line_total,3
issue_invalid_allowed_value,732
issue_invalid_date_format,243
issue_invalid_email_format,2
issue_invalid_foreign_key_reference,13
issue_negative_numeric_value,48
issue_payment_order_amount_mismatch,110
issue_payment_order_currency_mismatch,75
issue_updated_at_before_created_at,1
column_report_total_invalid_date_count,496
column_report_total_invalid_email_count,5
column_report_total_invalid_numeric_count,2588
column_report_total_negative_numeric_count,99
column_report_total_invalid_allowed_value_count,2860
